No,시도,구군,평균,사회안전에 대한 인식 b),인구 천명당 cctv 대수 b),인구 십만명당 응급의료기관 및 응급실 운영기관수,단위면적당 지역경찰관서 수,지역안전등급 현황 중 '교통사고 및 화재' a)
113,강원도,삼척시,0.3152,0.8531,0.3216,0.4317,0.3073,0.0549
114,강원도,홍천군,0.5624,0.9547,0.5099,0.4219,0.3033,0.5075
115,강원도,횡성군,0.7374,0.9385,0.6295,0.6277,0.3061,0.7117
116,강원도,영월군,0.885,0.9933,0.912,0.7267,0.3049,0.7117
117,강원도,평창군,0.3591,0.8244,0.2335,0.6836,0.3017,0.0549
118,강원도,정선군,0.9585,0.8507,1,0.996,0.307,0.7117
119,강원도,철원군,0.4033,0.6662,0.574,0.6317,0.3016,0.0549
120,강원도,화천군,0.7363,0.6505,0.5888,0.9539,0.3052,0.7117
121,강원도,양구군,0.9071,0.9044,0.8181,0.9709,0.3087,0.7117
122,강원도,인제군,0.6855,0.8431,0.9208,0.851,0.3011,0.1446
123,강원도,고성군,0.462,0.8764,0.6055,0.1059,0.3062,0.5075
124,강원도,양양군,0.4523,0.8604,0.9527,0.1059,0.3094,0.1446
125,충청북도,충주시,0.3199,0.8405,0.2381,0.2912,0.3115,0.3014
126,충청북도,제천시,0.3987,0.8379,0.4874,0.4357,0.3094,0.1446
127,충청북도,청주시,0.4489,0.5643,0.4619,0.2924,0.3325,0.7117
128,충청북도,보은군,0.6734,0.9471,0.6377,0.8253,0.3134,0.3014
129,충청북도,옥천군,0.7188,0.9834,0.4215,0.5717,0.3181,0.8638
130,충청북도,영동군,0.656,0.9165,0.6502,0.5914,0.3079,0.5075
131,충청북도,진천군,0.6791,0.9007,0.4958,0.379,0.3168,0.9492
132,충청북도,괴산군,0.7031,0.9724,0.5884,0.736,0.308,0.5075
133,충청북도,음성군,0.5607,0.9774,0.3694,0.3152,0.3189,0.7117
134,충청북도,단양군,0.6013,0.8352,0.4872,0.8816,0.3068,0.3014
135,충청북도,증평군,0.5448,0.9197,0.5918,0.1059,0.3167,0.7117
136,충청남도,천안시,0.511,0.783,0.4578,0.2484,0.345,0.7117
137,충청남도,공주시,0.3693,0.9596,0.4264,0.2861,0.3116,0.1446
138,충청남도,보령시,0.2568,0.4835,0.5498,0.2989,0.3197,0.1446
139,충청남도,아산시,0.1211,0.4622,0.2408,0.2182,0.3308,0.1446
140,충청남도,서산시,0.3472,0.7893,0.3174,0.3431,0.312,0.3014
141,충청남도,논산시,0.3316,0.7152,0.6708,0.2621,0.3143,0.0549
142,충청남도,계룡시,0.3911,0.9978,0.2573,0.1059,0.3241,0.5075
143,충청남도,당진시,0.1738,0.4707,0.4125,0.2089,0.3152,0.1446
144,충청남도,금산군,0.8158,0.9937,0.8754,0.5531,0.3106,0.7117
145,충청남도,부여군,0.5057,0.8742,0.3948,0.4332,0.3205,0.5075
146,충청남도,서천군,0.6447,0.9991,0.7648,0.546,0.3288,0.3014
147,충청남도,청양군,0.8459,0.8604,0.9997,0.8483,0.3173,0.5075
148,충청남도,홍성군,0.551,0.7954,0.3806,0.3012,0.3229,0.8638
149,충청남도,예산군,0.67,0.9657,0.711,0.7219,0.3147,0.3014
150,충청남도,태안군,0.6847,0.9435,0.6212,0.466,0.3157,0.7117
151,전라북도,전주시,0.2984,0.1017,0.3176,0.3235,0.4646,0.7117
152,전라북도,군산시,0.2728,0.2931,0.4138,0.2391,0.3901,0.5075
153,전라북도,익산시,0.1333,0.2209,0.3213,0.2271,0.3616,0.3014
154,전라북도,정읍시,0.3092,0.5769,0.7456,0.2766,0.3357,0.0162
155,전라북도,남원시,0.2421,0.3156,0.7401,0.3603,0.3209,0.0162
156,전라북도,김제시,0.0311,0.1475,0.284,0.3495,0.3338,0.0162
157,전라북도,완주군,0.3544,0.0943,0.6383,0.3192,0.3209,0.7117
158,전라북도,진안군,0.6069,0.1994,0.8652,0.9435,0.3132,0.5075
159,전라북도,무주군,0.7477,0.4622,1,0.9594,0.3148,0.5075
160,전라북도,장수군,0.5225,0.5219,0.2628,0.9725,0.3151,0.5075
161,전라북도,임실군,0.7756,0.8272,1,0.8845,0.313,0.3014
162,전라북도,순창군,0.5305,0.1681,0.9126,0.898,0.3235,0.3014
163,전라북도,고창군,0.4587,0.3194,0.9335,0.5163,0.3212,0.3014
164,전라북도,부안군,0.4696,0.1964,0.6685,0.927,0.3308,0.3014
165,전라남도,목포시,0.5033,0.35,0.2326,0.7425,0.6906,0.5075
